title_norm,tmdb_id,genres,director,top_cast,overview,match_score,enriched_text
The Golden Temple (2012),304136.0,,,,"Welcome to Stratford- the construction site from which the 2012 Olympic Village will rise. One of the greatest honors bestowed upon a city, hosting the Olympic Games comes with a price.",0.8,The Golden Temple (2012)
Fool's Gold (2008),8676.0,"['Adventure', 'Romance', 'Comedy']",Andy Tennant,"['Matthew McConaughey', 'Kate Hudson', 'Donald Sutherland']","Treasure hunter Ben ""Finn"" Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen's Dowry. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss, billionaire Nigel Honeycutt, along on the hunt. But Finn is not the only one interested in the gold; his former mentor-turned-enemy Moe Fitch, hired by rapper-turned-gangster Bigg Bunny, will stop at nothing to beat him to it.",1.0,"Fool's Gold (2008) | Genres: Adventure, Romance, Comedy | Director: Andy Tennant | Cast: Matthew McConaughey, Kate Hudson, Donald Sutherland"
The Exorcist (1973),9552.0,['Horror'],William Friedkin,"['Ellen Burstyn', 'Linda Blair', 'Jason Miller']","When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",1.0,"The Exorcist (1973) | Genres: Horror | Director: William Friedkin | Cast: Ellen Burstyn, Linda Blair, Jason Miller"
The War Bride (2001),41839.0,"['Drama', 'Romance']",Lyndon Chubbuck,"['Anna Friel', 'Brenda Fricker', 'Aden Young']","During World War II, a Cockney woman marries a Canadian soldier and adjusts to life in Alberta.",1.0,"The War Bride (2001) | Genres: Drama, Romance | Director: Lyndon Chubbuck | Cast: Anna Friel, Brenda Fricker, Aden Young"
Flick (2008),26772.0,['Horror'],David Howard,"[""Hugh O'Conor"", 'Faye Dunaway', 'Liz Smith']",Memphis cop Lieutenant McKenzie is called in to investigate a series of strange deaths and wierd sightings following the resurrection of a murder victim from the 1950s(a local boy) who is brought back to life in modern times and tries to find his teenage sweetheart who is now aged 62 and also to seek revenge for his death.,1.0,"Flick (2008) | Genres: Horror | Director: David Howard | Cast: Hugh O'Conor, Faye Dunaway, Liz Smith"
National Security (2012),162146.0,"['Drama', 'History', 'Thriller']",Chung Ji-young,"['Park Won-sang', 'Lee Kyung-young', 'Dong Bang-woo']","On September 4, 1984, democracy movement leader Kim Jong Tae is arrested and taken to an infamous interrogation facility in Namyeong-dong. For the next 22 days, he would be cruelly and continuously tortured in all manners by interrogators intent on forcing him to confess to communist collaboration.",1.0,"National Security (2012) | Genres: Drama, History, Thriller | Director: Chung Ji-young | Cast: Park Won-sang, Lee Kyung-young, Dong Bang-woo"
The Vow (2012),72570.0,"['Drama', 'Romance']",Michael Sucsy,"['Rachel McAdams', 'Channing Tatum', 'Sam Neill']","Happy young married couple Paige and Leo are, well, happy. Then a car accident puts Paige into a life-threatening coma. Upon awakening she has lost the previous five years of memories, including those of her beloved Leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. Despite these complications, Leo endeavors to win her heart again and rebuild their marriage.",1.0,"The Vow (2012) | Genres: Drama, Romance | Director: Michael Sucsy | Cast: Rachel McAdams, Channing Tatum, Sam Neill"
Winter's Bone (2010),39013.0,"['Drama', 'Mystery']",Debra Granik,"['Jennifer Lawrence', 'John Hawkes', 'Kevin Breznahan']","After discovering her father put their house up for his bail bond and then disappeared, 17-year-old Ree Dolly must confront the local criminal underworld and the harsh Ozark wilderness in order to to track down her father and save her family.",1.0,"Winter's Bone (2010) | Genres: Drama, Mystery | Director: Debra Granik | Cast: Jennifer Lawrence, John Hawkes, Kevin Breznahan"
Love Station (2016),497385.0,,Ashok Pati,"['Babushaan Mohanty', 'Elina Samantaray', 'Papu Pom Pom']","Two youngsters miss their train and attempt to catch it from intermediate stations. In the process, they fall in love with each other.",1.0,"Love Station (2016) | Director: Ashok Pati | Cast: Babushaan Mohanty, Elina Samantaray, Papu Pom Pom"
Fight Club – Members Only (2006),347807.0,['Action'],Vikram Chopra,"['Suniel Shetty', 'Sohail Khan', 'Zayed Khan']",Four friends head off to Bombay and get involved in the mother and father of all gang wars.,0.9387755102040817,"Fight Club – Members Only (2006) | Genres: Action | Director: Vikram Chopra | Cast: Suniel Shetty, Sohail Khan, Zayed Khan"
IMurders (2008),29695.0,"['Drama', 'Horror', 'Mystery', 'Thriller']",Robbie Bryan,"['Gabrielle Anwar', 'William Forsythe', 'Tony Todd']","A mysterious love triangle leads to a tragic shooting. Months later, eight members of a MySpace-esque chat room are being gruesomely murdered in the privacy of their own homes.",1.0,"IMurders (2008) | Genres: Drama, Horror, Mystery, Thriller | Director: Robbie Bryan | Cast: Gabrielle Anwar, William Forsythe, Tony Todd"
Pocahontas II: Journey to a New World (1998),13761.0,"['Animation', 'Family', 'Adventure', 'Romance']",Tom Ellery,"['Billy Zane', 'Irene Bedard', 'Jim Cummings']","When news of John Smith's death reaches America, Pocahontas is devastated. She sets off to London with John Rolfe, to meet with the King of England on a diplomatic mission: to create peace and respect between the two great lands. However, Governor Ratcliffe is still around; he wants to return to Jamestown and take over. He will stop at nothing to discredit the young princess.",1.0,"Pocahontas II: Journey to a New World (1998) | Genres: Animation, Family, Adventure, Romance | Director: Tom Ellery | Cast: Billy Zane, Irene Bedard, Jim Cummings"
Just One of the Guys (1985),24548.0,"['Comedy', 'Romance']",Lisa Gottlieb,"['Joyce Hyser', 'Clayton Rohner', 'Billy Jayne']","When Terry Griffith loses her high school's writing competition, she's convinced that it's because she's a girl. So Terry decides to change high schools and pose as a boy to prove her point. Her brother, Buddy, helps her pass as a guy so well that she is soon making friends with the boys at school, including the attractive Rick, who becomes her new best friend. But her gender-swapping makes things difficult when she falls in love with him.",1.0,"Just One of the Guys (1985) | Genres: Comedy, Romance | Director: Lisa Gottlieb | Cast: Joyce Hyser, Clayton Rohner, Billy Jayne"
Prince (1969),307609.0,['Drama'],Lekh Tandon,"['Shammi Kapoor', 'Vyjayanthimala', 'Rajendranath Malhotra']","To better himself, a spoiled prince temporarily assumes a commoner's identity. But he soon learns his palace has been gifted to his father's new wife.",1.0,"Prince (1969) | Genres: Drama | Director: Lekh Tandon | Cast: Shammi Kapoor, Vyjayanthimala, Rajendranath Malhotra"
Love Liza (2002),15395.0,"['Comedy', 'Drama']",Todd Louiso,"['Philip Seymour Hoffman', 'Jack Kehler', 'Sarah Koskoff']","Following the unexplained suicide of his wife Liza, website designer Wilson Joel turns to huffing gasoline fumes and remote control gaming while avoiding an inevitable conflict with his mother-in-law.",1.0,"Love Liza (2002) | Genres: Comedy, Drama | Director: Todd Louiso | Cast: Philip Seymour Hoffman, Jack Kehler, Sarah Koskoff"
Anomalisa (2015),291270.0,"['Animation', 'Drama', 'Romance', 'Comedy']",Duke Johnson,"['David Thewlis', 'Jennifer Jason Leigh', 'Tom Noonan']",An inspirational speaker becomes reinvigorated after meeting a lively woman who shakes up his mundane existence.,1.0,"Anomalisa (2015) | Genres: Animation, Drama, Romance, Comedy | Director: Duke Johnson | Cast: David Thewlis, Jennifer Jason Leigh, Tom Noonan"
The Great Gatsby (1926),262176.0,['Drama'],Herbert Brenon,"['Warner Baxter', 'Lois Wilson', 'Neil Hamilton']","Nick Carraway, a young Midwesterner now living on Long Island, finds himself fascinated by the mysterious past and lavish lifestyle of his neighbor, the nouveau riche Jay Gatsby. He is drawn into Gatsby's circle, becoming a witness to obsession and tragedy.",1.0,"The Great Gatsby (1926) | Genres: Drama | Director: Herbert Brenon | Cast: Warner Baxter, Lois Wilson, Neil Hamilton"
Million Dollar Baby (2004),70.0,['Drama'],Clint Eastwood,"['Clint Eastwood', 'Hilary Swank', 'Morgan Freeman']","Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",1.0,"Million Dollar Baby (2004) | Genres: Drama | Director: Clint Eastwood | Cast: Clint Eastwood, Hilary Swank, Morgan Freeman"
Insidious: Chapter 3 (2015),280092.0,"['Horror', 'Thriller']",Leigh Whannell,"['Stefanie Scott', 'Lin Shaye', 'Dermot Mulroney']","A twisted new tale of terror begins for a teenage girl and her family, and revealing more mysteries of the otherworldly realm, 'The Further'.",1.0,"Insidious: Chapter 3 (2015) | Genres: Horror, Thriller | Director: Leigh Whannell | Cast: Stefanie Scott, Lin Shaye, Dermot Mulroney"
The Mummy,564.0,"['Adventure', 'Action', 'Fantasy']",Stephen Sommers,"['Brendan Fraser', 'Rachel Weisz', 'John Hannah']",Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,1.0,"The Mummy | Genres: Adventure, Action, Fantasy | Director: Stephen Sommers | Cast: Brendan Fraser, Rachel Weisz, John Hannah"
Ride Along 2 (2016),323675.0,"['Action', 'Comedy']",Tim Story,"['Kevin Hart', 'Ice Cube', 'Olivia Munn']","As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",1.0,"Ride Along 2 (2016) | Genres: Action, Comedy | Director: Tim Story | Cast: Kevin Hart, Ice Cube, Olivia Munn"
The Hills Have Eyes (2006),9792.0,"['Horror', 'Thriller']",Alexandre Aja,"['Vinessa Shaw', 'Aaron Stanford', 'Ted Levine']","Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",1.0,"The Hills Have Eyes (2006) | Genres: Horror, Thriller | Director: Alexandre Aja | Cast: Vinessa Shaw, Aaron Stanford, Ted Levine"
Dirty Work (1998),14577.0,['Comedy'],Bob Saget,"['Norm Macdonald', 'Artie Lange', 'Jack Warden']","Unemployed and recently dumped, Mitch and his buddy Sam start a revenge-for-hire business to raise the $50,000 that Sam's father needs to get a heart transplant.",1.0,"Dirty Work (1998) | Genres: Comedy | Director: Bob Saget | Cast: Norm Macdonald, Artie Lange, Jack Warden"
North Dallas Forty (1979),29786.0,"['Comedy', 'Drama']",Ted Kotcheff,"['Nick Nolte', 'Mac Davis', 'Charles Durning']",A semi-fictional account of life as a professional football player. Loosely based on the Dallas Cowboys team of the early 1970s.,1.0,"North Dallas Forty (1979) | Genres: Comedy, Drama | Director: Ted Kotcheff | Cast: Nick Nolte, Mac Davis, Charles Durning"
Death at a Funeral (2007),2196.0,"['Comedy', 'Drama']",Frank Oz,"['Matthew Macfadyen', 'Peter Dinklage', 'Ewen Bremner']",A myriad of outrageous calamities befalls an eccentric English clan with more than a few skeletons in its closets when the family's patriarch dies an unexpected death.,1.0,"Death at a Funeral (2007) | Genres: Comedy, Drama | Director: Frank Oz | Cast: Matthew Macfadyen, Peter Dinklage, Ewen Bremner"
The Cowboys (1972),15573.0,"['Western', 'Adventure', 'Drama', 'Action']",Mark Rydell,"['John Wayne', 'Roscoe Lee Browne', 'Bruce Dern']","When his cattlemen abandon him for the gold fields, rancher Wil Andersen is forced to take on a collection of young boys as his cowboys in order to get his herd to market in time to avoid financial disaster. The boys learn to do a man's job under Andersen's tutelage, however, neither he nor the boys know that a gang of cattle thieves is stalking them.",1.0,"The Cowboys (1972) | Genres: Western, Adventure, Drama, Action | Director: Mark Rydell | Cast: John Wayne, Roscoe Lee Browne, Bruce Dern"
My Scientology Movie (2015),359871.0,['Documentary'],John Dower,"['Louis Theroux', 'Tom De Vocht', 'Marty Rathbun']","After being denied access to the Church of Scientology's headquarters, documentarian Louis Theroux teams up with ex-Scientology official Marty Rathbun to stage re-enactments of alleged abuses within the organization. Theroux soon discovers that the church is watching his every move.",0.9,"My Scientology Movie (2015) | Genres: Documentary | Director: John Dower | Cast: Louis Theroux, Tom De Vocht, Marty Rathbun"
Blackhat (2015),201088.0,"['Crime', 'Thriller', 'Action']",Michael Mann,"['Chris Hemsworth', 'Tang Wei', 'Leehom Wang']","Nicholas Hathaway, a furloughed convict, and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta. As Hathaway closes in, the stakes become personal as he discovers that the attack on a Chinese nuclear power plant was just the beginning.",1.0,"Blackhat (2015) | Genres: Crime, Thriller, Action | Director: Michael Mann | Cast: Chris Hemsworth, Tang Wei, Leehom Wang"
Hereafter (2010),44603.0,"['Drama', 'Fantasy']",Clint Eastwood,"['Matt Damon', 'Cécile de France', 'Bryce Dallas Howard']","Three people — a blue-collar American, a French journalist and a London school boy — are touched by death in different ways.",1.0,"Hereafter (2010) | Genres: Drama, Fantasy | Director: Clint Eastwood | Cast: Matt Damon, Cécile de France, Bryce Dallas Howard"
The Parent Trap (1998),9820.0,"['Comedy', 'Family', 'Romance']",Nancy Meyers,"['Lindsay Lohan', 'Dennis Quaid', 'Natasha Richardson']","Hallie Parker and Annie James are identical twins who were separated at a young age due to their parents' divorce. Unbeknownst to their parents, the girls are sent to the same summer camp, where they meet, discover the truth about their relationship, and come up with a plan to switch places in an effort to reunite their mother and father.",1.0,"The Parent Trap (1998) | Genres: Comedy, Family, Romance | Director: Nancy Meyers | Cast: Lindsay Lohan, Dennis Quaid, Natasha Richardson"
Anna and the King (1999),1439.0,"['Drama', 'Romance', 'History']",Andy Tennant,"['Jodie Foster', 'Chow Yun-Fat', 'Bai Ling']",The story of the romance between the King of Siam (now Thailand) and the widowed British school teacher Anna Leonowens during the 1860s. Anna teaches the children and becomes romanced by the King. She convinces him that a man can be loved by just one woman.,1.0,"Anna and the King (1999) | Genres: Drama, Romance, History | Director: Andy Tennant | Cast: Jodie Foster, Chow Yun-Fat, Bai Ling"
Beware! The Blob (1972),40983.0,"['Comedy', 'Horror', 'Science Fiction']",Larry Hagman,"['Robert Walker Jr.', 'Gwynne Gilford', 'Richard Stahl']","A technician brings a frozen specimen of the original Blob back from the North Pole. When his wife accidentally defrosts the thing, it terrorizes the populace-- the local hippies, cops, drunks and bowlers must all face the Blob!",1.0,"Beware! The Blob (1972) | Genres: Comedy, Horror, Science Fiction | Director: Larry Hagman | Cast: Robert Walker Jr., Gwynne Gilford, Richard Stahl"
The Exorcist,9552.0,['Horror'],William Friedkin,"['Ellen Burstyn', 'Linda Blair', 'Jason Miller']","When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",1.0,"The Exorcist | Genres: Horror | Director: William Friedkin | Cast: Ellen Burstyn, Linda Blair, Jason Miller"
Brave (2012),62177.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",Mark Andrews,"['Kelly Macdonald', 'Emma Thompson', 'Billy Connolly']","In the mystical Scottish Highlands, Merida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Merida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Merida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Merida's quest — and serving as comic relief — are the kingdom's three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",1.0,"Brave (2012) | Genres: Animation, Adventure, Comedy, Family, Action, Fantasy | Director: Mark Andrews | Cast: Kelly Macdonald, Emma Thompson, Billy Connolly"
The Royal Scandal,59013.0,"['Crime', 'Thriller', 'Mystery', 'TV Movie']",Rodney Gibbons,"['Matt Frewer', 'Kenneth Welsh', 'Liliana Komorowska']","Sir Arthur Conan Doyle's Sherlock Holmes - the world's greatest detective - faces a most alluring adversary... Legendary opera star Irene Adler is threatening to destroy the King of Bohemia's reputation with proof of their illicit affair. The evidence? A photograph. Her ransom? The king's hand in marriage. But not only does investigating detective Sherlock Holmes already know Irene from the past, he also knows that the queen of manipulation would never resort to such a common crime. After uncovering her true ambitions, Holmes draws the cunning songstress into a well-matched game of cat and mouse",1.0,"The Royal Scandal | Genres: Crime, Thriller, Mystery, TV Movie | Director: Rodney Gibbons | Cast: Matt Frewer, Kenneth Welsh, Liliana Komorowska"
Chloe (2009),28211.0,"['Drama', 'Thriller', 'Mystery']",Atom Egoyan,"['Amanda Seyfried', 'Julianne Moore', 'Liam Neeson']","A doctor hires an escort to seduce her husband, whom she suspects of cheating, though unforeseen events put the family in danger.",0.9,"Chloe (2009) | Genres: Drama, Thriller, Mystery | Director: Atom Egoyan | Cast: Amanda Seyfried, Julianne Moore, Liam Neeson"
Mississippi Damned (2009),193309.0,['Drama'],Tina Mabry,"['Tessa Thompson', 'Adam Clark', 'Malcolm Goodwin']","Three poor Black kids in rural Mississippi reap the consequences of their family's cycle of abuse, addiction, and violence.",1.0,"Mississippi Damned (2009) | Genres: Drama | Director: Tina Mabry | Cast: Tessa Thompson, Adam Clark, Malcolm Goodwin"
Cloverfield (2008),7191.0,"['Action', 'Thriller', 'Science Fiction']",Matt Reeves,"['Lizzy Caplan', 'Jessica Lucas', 'T.J. Miller']","Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",1.0,"Cloverfield (2008) | Genres: Action, Thriller, Science Fiction | Director: Matt Reeves | Cast: Lizzy Caplan, Jessica Lucas, T.J. Miller"
Okja,387426.0,"['Adventure', 'Drama', 'Science Fiction']",Bong Joon Ho,"['An Seo-hyun', 'Tilda Swinton', 'Paul Dano']","A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.",1.0,"Okja | Genres: Adventure, Drama, Science Fiction | Director: Bong Joon Ho | Cast: An Seo-hyun, Tilda Swinton, Paul Dano"
Killers (2010),37821.0,"['Action', 'Comedy', 'Thriller', 'Romance']",Robert Luketic,"['Ashton Kutcher', 'Katherine Heigl', 'Tom Selleck']","When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",1.0,"Killers (2010) | Genres: Action, Comedy, Thriller, Romance | Director: Robert Luketic | Cast: Ashton Kutcher, Katherine Heigl, Tom Selleck"
The Shaggy Dog (1959),15944.0,"['Comedy', 'Family', 'Fantasy']",Charles Barton,"['Fred MacMurray', 'Jean Hagen', 'Tommy Kirk']","Through an ancient spell, a boy changes into a sheepdog and back again. It seems to happen at inopportune times and the spell can only be broken by an act of bravery....",1.0,"The Shaggy Dog (1959) | Genres: Comedy, Family, Fantasy | Director: Charles Barton | Cast: Fred MacMurray, Jean Hagen, Tommy Kirk"
No Good Deed (2014),136835.0,"['Crime', 'Thriller']",Sam Miller,"['Idris Elba', 'Taraji P. Henson', 'Leslie Bibb']","Terri is a devoted wife and mother of two, living an ideal suburban life in Atlanta when Colin, a charming but dangerous escaped convict, shows up at her door claiming car trouble. Terri offers her phone to help him but soon learns that no good deed goes unpunished as she finds herself fighting for survival when he invades her home and terrorizes her family.",1.0,"No Good Deed (2014) | Genres: Crime, Thriller | Director: Sam Miller | Cast: Idris Elba, Taraji P. Henson, Leslie Bibb"
Double Impact (1991),9594.0,"['Thriller', 'Action', 'Crime', 'Drama']",Sheldon Lettich,"['Jean-Claude Van Damme', 'Geoffrey Lewis', 'Alonna Shaw']","Jean Claude Van Damme plays a dual role as Alex and Chad, twins separated at the death of their parents. Chad is raised by a family retainer in Paris, Alex becomes a petty crook in Hong Kong. Seeing a picture of Alex, Chad rejoins him and convinces him that his rival in Hong Kong is also the man who killed their parents. Alex is suspicious of Chad, especially when it comes to his girlfriend.",1.0,"Double Impact (1991) | Genres: Thriller, Action, Crime, Drama | Director: Sheldon Lettich | Cast: Jean-Claude Van Damme, Geoffrey Lewis, Alonna Shaw"
First Kill (2017),410554.0,"['Action', 'Thriller', 'Crime']",Steven C. Miller,"['Bruce Willis', 'Hayden Christensen', 'Ty Joseph Shelton']",A police chief tries to solve a kidnapping that involves a bank robber holding a young boy hostage.,1.0,"First Kill (2017) | Genres: Action, Thriller, Crime | Director: Steven C. Miller | Cast: Bruce Willis, Hayden Christensen, Ty Joseph Shelton"
Torque (2004),10718.0,"['Action', 'Comedy', 'Crime']",Joseph Kahn,"['Martin Henderson', 'Ice Cube', 'Monet Mazur']","Biker Cary Ford is framed by an old rival and biker gang leader for the murder of another gang member who happens to be the brother of Trey, leader of the most feared biker gang in the country. Ford is now on the run trying to clear his name from the murder with Trey and his gang looking for his blood.",1.0,"Torque (2004) | Genres: Action, Comedy, Crime | Director: Joseph Kahn | Cast: Martin Henderson, Ice Cube, Monet Mazur"
Batman: Revenge (2003),,,,,,,Batman: Revenge (2003)
The Incredible Hulk (2008),1724.0,"['Science Fiction', 'Action', 'Adventure']",Louis Leterrier,"['Edward Norton', 'Liv Tyler', 'Tim Roth']","Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",1.0,"The Incredible Hulk (2008) | Genres: Science Fiction, Action, Adventure | Director: Louis Leterrier | Cast: Edward Norton, Liv Tyler, Tim Roth"
Red Lines (2014),296818.0,['Documentary'],Oliver Lukacs,,"In 2011, Syria's Bashar al-Assad answered his nation's demands for freedom by launching a brutal war against his own people. While the U.S. drew red lines for intervention, Assad ramped up the attacks, starving and killing civilians and children, including the use of chemical weapons, leveling cities, targeting journalists and blocking humanitarian aid to millions of victims. Abandoned by the outside world, individual activists stepped in to fill the roles of banned journalists, international aid agencies and feckless foreign governments. Red Lines tells the story of two such activists, who despite overwhelming obstacles, attempt to establish democratic enclaves in their devastated homeland.",1.0,Red Lines (2014) | Genres: Documentary | Director: Oliver Lukacs
All the Pretty Horses (2000),21355.0,"['Drama', 'Romance', 'Western']",Billy Bob Thornton,"['Matt Damon', 'Henry Thomas', 'Lucas Black']","The year is 1949. A young Texan named John Grady finds himself without a home after his mother sells the ranch where he has spent his entire life. Lured south of the border by the romance of cowboy life and the promise of a fresh start, Cole and his pal embark on an adventure that will test their resilience, define their maturity, and change their lives forever.",1.0,"All the Pretty Horses (2000) | Genres: Drama, Romance, Western | Director: Billy Bob Thornton | Cast: Matt Damon, Henry Thomas, Lucas Black"
Pinocchio (1940),10895.0,"['Animation', 'Family', 'Fantasy']",Hamilton Luske,"['Dickie Jones', 'Cliff Edwards', 'Christian Rub']","When the gentle woodcarver Geppetto builds a marionette to be his substitute son, a benevolent fairy brings the toy to life. The puppet, named Pinocchio, is not yet a human boy. He must earn the right to be real by proving that he is brave, truthful, and unselfish.",1.0,"Pinocchio (1940) | Genres: Animation, Family, Fantasy | Director: Hamilton Luske | Cast: Dickie Jones, Cliff Edwards, Christian Rub"
